# PyATRAC1 Debug Log - 2025-06-11 13:45:08
# Format: [TIMESTAMP][IMPL][FILE:LINE][FUNC][CH{n}][FR{nnn}][BAND_{name}] STAGE: data_type=values |META: ... |SRC: ...
#
[2025-06-11T13:45:08.826675][PYTRAC][qmf.py:236][analysis][CH0][FR000][BAND_FULL] QMF_BAND_STATS: ENERGY=[874.015808,0.000441,0.000065] |META: size=3 range=[0.000065,874.015808] sum=874.016296 mean=291.338776 nonzero=3 |SRC: statistic=band_energy
[2025-06-11T13:45:08.826954][PYTRAC][qmf.py:209][analysis][CH0][FR001][BAND_FULL] QMF_ANALYSIS_INPUT: PCM=[-0.000000,0.024541,0.049068,0.073565,0.098017...-0.122411,-0.098017,-0.073565,-0.049068,-0.024541] |META: size=512 range=[-1.000000,1.000000] sum=0.000000 mean=0.000000 nonzero=508 |SRC: algorithm=qmf_analysis
[2025-06-11T13:45:08.827083][PYTRAC][qmf.py:214][analysis][CH0][FR001][BAND_FULL] QMF_DELAY_SHIFT: OLD_NEW=[0.000000,0.000000,0.000000,0.000000,0.000000...-0.000015,-0.000014,-0.000013,-0.000012,-0.000012] |META: size=16 range=[-0.000017,0.000000] sum=-0.000115 mean=-0.000007 nonzero=8 |SRC:
[2025-06-11T13:45:08.827216][PYTRAC][qmf.py:67][analysis][CH0][FR001][BAND_QMF1] QMF_INPUT: SAMPLES=[-0.000000,0.024541,0.049068,0.073565,0.098017...0.266713,0.290285,0.313682,0.336890,0.359895] |META: size=16 range=[-0.000000,0.359895] sum=2.909930 mean=0.181871 nonzero=15 |SRC:
[2025-06-11T13:45:08.827350][PYTRAC][qmf.py:72][analysis][CH0][FR001][BAND_QMF1] QMF_BUFFER_SHIFT: OLD_TO_NEW=[0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000] |META: size=8 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=0 |SRC:
[2025-06-11T13:45:08.827450][PYTRAC][qmf.py:76][analysis][CH0][FR001][BAND_QMF1] QMF_BUFFER_FILLED: TOTAL=[-0.903989,-0.893224,-0.881921,-0.870087,-0.857729...0.313682,0.336890,0.359895,0.382683,0.405241] |META: size=64 range=[-0.903989,0.405241] sum=-20.076473 mean=-0.313695 nonzero=63 |SRC:
[2025-06-11T13:45:08.827561][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF1] QMF_RAW_TAPS: J0=[-0.524558,-0.524576] |META: size=2 range=[-0.524576,-0.524558] sum=-1.049134 mean=-0.524567 nonzero=2 |SRC:
[2025-06-11T13:45:08.827634][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF1] QMF_BUTTERFLY: J0=[-1.049134,0.000019] |META: size=2 range=[-1.049134,0.000019] sum=-1.049116 mean=-0.524558 nonzero=2 |SRC:
[2025-06-11T13:45:08.827722][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF1] QMF_RAW_TAPS: J2=[-0.482154,-0.482173] |META: size=2 range=[-0.482173,-0.482154] sum=-0.964326 mean=-0.482163 nonzero=2 |SRC:
[2025-06-11T13:45:08.827792][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF1] QMF_BUTTERFLY: J2=[-0.964326,0.000019] |META: size=2 range=[-0.964326,0.000019] sum=-0.964307 mean=-0.482154 nonzero=2 |SRC:
[2025-06-11T13:45:08.827878][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF1] QMF_RAW_TAPS: J4=[-0.438588,-0.438607] |META: size=2 range=[-0.438607,-0.438588] sum=-0.877195 mean=-0.438597 nonzero=2 |SRC:
